music_ID,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,meanMFCC[0],stdMFCC[0],medianMFCC[0],kurtMFCC[0],skewMFCC[0],meanMFCC[1],stdMFCC[1],medianMFCC[1],kurtMFCC[1],skewMFCC[1],meanMFCC[2],stdMFCC[2],medianMFCC[2],kurtMFCC[2],skewMFCC[2],meanMFCC[3],stdMFCC[3],medianMFCC[3],kurtMFCC[3],skewMFCC[3],meanMFCC[4],stdMFCC[4],medianMFCC[4],kurtMFCC[4],skewMFCC[4],meanMFCC[5],stdMFCC[5],medianMFCC[5],kurtMFCC[5],skewMFCC[5],meanMFCC[6],stdMFCC[6],medianMFCC[6],kurtMFCC[6],skewMFCC[6],meanMFCC[7],stdMFCC[7],medianMFCC[7],kurtMFCC[7],skewMFCC[7],meanMFCC[8],stdMFCC[8],medianMFCC[8],kurtMFCC[8],skewMFCC[8],meanMFCC[9],stdMFCC[9],medianMFCC[9],kurtMFCC[9],skewMFCC[9],meanMFCC[10],stdMFCC[10],medianMFCC[10],kurtMFCC[10],skewMFCC[10],meanMFCC[11],stdMFCC[11],medianMFCC[11],kurtMFCC[11],skewMFCC[11],mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var
1,0.47368421052631576,0.08227012191586366,0.23904227632853484,0.42581248,0.68411905,0.645955,0.32374195805214373,0.8791095200978225,0.8553129628663292,0.45156644688480563,0.725570343885663,0.6038282987811914,0.12764214,0.11298514,0.014602443,0.6624214353236695,0.6080963408992083,0.4366390953495356,0.6430932303502676,0.34494980754448434,0.17162696196051327,0.4825584769432364,0.1844825350824507,0.11546269162553428,0.666544386503587,0.47393218455269076,0.3013864655524909,0.29927947557687573,0.34054109945459365,0.14051151091129563,0.5229688416847993,0.4877275762831853,0.33408013466736197,0.4844952366738781,0.5871769450279931,0.3909156165523812,0.83061284,0.27183372,0.09067766,0.4906075,0.37293294,0.15549773,0.03301948499644668,0.06961869784396676,0.011696385746848387,0.6422411,0.2465668,0.6554023,0.056474985018127734,0.7505445706568395,0.29384425,0.6480164,0.25178835,0.10553300628421858,0.6430723619240875,0.46661577,0.39014968,0.4666003,0.16702237310587684,0.3982043602919511,0.55616707,0.35102144,0.58185655,0.28802495792651495,0.44611624929700194,0.3044324,0.5484467,0.33867806,0.2097877013920479,0.5977155795347252,0.69121295,0.42401183,0.7129719,0.08608953550402336,0.49719274680195386,0.49412394,0.4376799,0.5703786,0.1539648437060978,0.5071796609310291,0.50253135,0.5352613,0.54620373,0.09779479161447827,0.568038445039179,0.50405926,0.6827499,0.51186043,0.0885328791000901,0.6285825484424326,0.4781059,0.7729906,0.52855456,0.1096906396089351,0.20060013290901088,0.57692283,0.6322196,0.6391897,0.14325753860359017,0.4661251334359267,0.82653284,0.4649644,0.83549243,0.1779434871726923,0.4769467688131183,0.3915413,0.5575484,0.38932618
4,0.6130030959752322,0.06916797845587556,0.18054765380696833,0.70738846,0.5660891,0.5227097,0.46298307499862085,0.6912512133972691,0.6434630641498971,0.599985872932793,0.6003875074169505,0.4536974320489468,0.5727192,0.7205602,0.5228974,0.26232801965145636,0.49361256125954583,0.31377795800761416,0.4247612182004589,0.5225075013537382,0.33113285196562225,0.3868790418289854,0.22318893086460884,0.1436511439168598,0.3465853117348558,0.606575022108567,0.4414196498573614,0.3625626359073381,0.4250105598171769,0.20734156932120243,0.52630874228207,0.41966347380260477,0.26989233883279545,0.06086871543150921,0.2109385718230174,0.07617621077871971,0.8332679,0.76517093,0.6007227,0.43597588,0.41380525,0.18826555,0.03791990326447057,0.06534971577816555,0.010729694490260617,0.5374654,0.34215444,0.5335097,0.03278851628499894,0.7964776413255988,0.55870783,0.62069887,0.5618642,0.08524602101076327,0.5146969031248882,0.5812686,0.52991813,0.5691292,0.06790837895316569,0.5779076614730845,0.70003986,0.51645213,0.71133286,0.13771851529411866,0.4906763494282831,0.510366,0.41625983,0.5130399,0.14932896025414377,0.6513546644458313,0.3905265,0.54261667,0.4608915,0.15494941410852495,0.40183342975870945,0.6333063,0.4796917,0.7042888,0.4184523375829328,0.23220984229816796,0.59378093,0.6357881,0.6393418,0.0737711612064266,0.5908602787638751,0.41673723,0.71849906,0.44259188,0.06337705180685886,0.602876972547362,0.69023,0.8788697,0.70938665,0.19006656111138182,0.15410308348710738,0.62283653,0.73475987,0.6822248,0.2532530122805187,0.386632985573816,0.6579502,0.4023762,0.65007097,0.2913321153306119,0.5230160078757947,0.53255343,0.6216244,0.46123114
5,0.515235457063712,0.7277820847891867,0.9319801249567089,0.7471342,0.60300183,0.5607248,0.31661137316785737,0.8740864935334945,0.849442801482097,0.42480339587137717,0.7457716608085377,0.6298512625239292,0.4197533,0.5397244,0.29585543,0.42472969882766726,0.7422068601813729,0.6045491775389041,0.5299234117101285,0.562045250868052,0.37323487896581226,0.39379493214239863,0.2928132243346883,0.19781614274030845,0.49269922269465827,0.6798689243625363,0.5292431550650458,0.3116715151109587,0.3841141376723989,0.17339814393668215,0.37111788618802705,0.5027881644135255,0.3490528827839801,0.20402231485991185,0.5250900537008056,0.32318515642540163,0.8322857,0.6072927,0.38902676,0.48473454,0.43725288,0.20846601,0.013301135298921981,0.027682866034440895,0.0036127596625833503,0.5208869,0.2857926,0.5141626,0.022982038483513486,0.851079183775888,0.42801702,0.8034397,0.4130603,0.06202043265978355,0.5662264184912305,0.684415,0.6924665,0.66416866,0.09197264300864047,0.5303705746756001,0.81170213,0.4386751,0.8082383,0.10971119939974015,0.5683621843029155,0.72318834,0.53246504,0.71635115,0.15241189012639927,0.7269189110704286,0.62692064,0.60004044,0.6542977,0.069547708986378,0.5467170280732664,0.59116817,0.50932664,0.6118122,0.1272655078797343,0.6625066794080199,0.7874184,0.49782,0.793877,0.07540322629790026,0.6994209388540845,0.2948862,0.7264656,0.32945132,0.12016598976737301,0.5149005409374113,0.6127572,0.5620547,0.5799893,0.09751827759929702,0.3814928489680911,0.67296004,0.6004257,0.6946274,0.17992772213324826,0.5712152619854075,0.5149256,0.42631608,0.5214109,0.20621060286724918,0.49194282850327464,0.24323355,0.71149254,0.57151365
6,0.5614035087719298,0.07559341907745963,0.1972948463449964,0.8071268,0.2258048,0.19493154,0.15299081004909773,0.772857537900611,0.7335499113498524,0.1953384466628212,0.8965340504081447,0.839819529887581,0.38233227,0.36420068,0.13688609,0.532660110003273,0.6229915051332143,0.4540106923100269,0.570546370852153,0.4978359961691111,0.3060763593139781,0.4934931236829648,0.2806033386489226,0.18799572403132228,0.5610646535441464,0.5877512768357304,0.4200643699701847,0.41771394708617415,0.5136333696324833,0.29112109411956555,0.6077749542079294,0.6088786137816791,0.46242863011770086,0.2946813286705681,0.3999852163044881,0.2056696079248086,0.83245844,0.60250694,0.38332203,0.48884863,0.41553456,0.18972045,0.031113766781104037,0.0670113526693606,0.011102090179986975,0.6206572,0.55225307,0.68447644,0.04052534258353873,0.7037013980202166,0.34885177,0.7060773,0.35068125,0.08749181989727287,0.5232732034216148,0.4637385,0.6643437,0.43041885,0.07127101895222893,0.6267916421721209,0.7592086,0.6446719,0.70082533,0.19705250049785802,0.8579475366568375,0.7624557,0.43483233,0.7541337,0.13903457597010177,0.657537873666633,0.48737353,0.73744935,0.4963717,0.10871532979327228,0.5703817275060488,0.6447698,0.3865737,0.67556053,0.1251241096676329,0.6260207344316748,1.0,0.51734364,0.98961645,0.11129752912976984,0.683504717641694,0.46695063,0.6450398,0.49633518,0.09695712363925862,0.529935560374198,0.7404878,0.5918977,0.72543275,0.1066211585975017,0.29289083323005366,0.7629466,0.65292144,0.78230405,0.06640902831160922,0.4801391286256387,0.6230496,0.4738342,0.6155379,0.10899084016559901,0.5797530884565018,0.14876458,0.65039843,0.49534273
7,0.40191387559808617,0.05244078694467292,0.17310652506098603,0.40356812,0.74986273,0.7167376,0.794024212612257,0.3543958877825897,0.3031647492912411,0.8942413829259918,0.23769812280395172,0.12691266179444605,0.33136225,0.25041825,0.066149585,0.6050794260305912,0.5168201231294923,0.3371597124850569,0.6699027400955545,0.23934254259630053,0.0996946607535,0.32732910315576674,0.18421898744967719,0.11527547118862726,0.678461165106373,0.34811632431315687,0.19106530902903862,0.5513306096855313,0.6216010123195134,0.4120939571119977,0.48531288838163783,0.14888155402560596,0.07095635141805119,0.47873911077632086,0.6196666657825094,0.42884647711318813,0.8315952,0.38223797,0.1661284,0.45512483,0.7083216,0.51622486,0.04764295538356557,0.08261236225448931,0.01483932580330259,0.79682815,0.15287092,0.7950015,0.17892466223864445,0.5950843125457534,0.3899415,0.39739034,0.40680817,0.1438005141547261,0.4372514146963576,0.4919143,0.23870517,0.44463846,0.28974543414617204,0.8272716690230517,0.5449136,0.2758963,0.5691157,0.13779031644322046,0.5384194138563682,0.4358547,0.32509518,0.4416021,0.12409801288314617,0.6447148114442353,0.54567355,0.22055408,0.5464625,0.05651060137152479,0.5939812073510934,0.3574072,0.4087302,0.4517628,0.10955044789689926,0.47337889943962863,0.66489893,0.24093175,0.6566406,0.06853774994875544,0.7423639324853029,0.39140704,0.28196922,0.4118178,0.08642913275557725,0.5605480033624943,0.45688653,0.45624843,0.4462302,0.10101258481970986,0.36041339166400055,0.58227193,0.37007955,0.6078572,0.16318819825302527,0.5330623912143531,0.29439175,0.3841025,0.27303442,0.0878319537781897,0.6145229264282414,0.3785765,0.3341495,0.18242612
8,0.3157894736842105,0.10887814641500358,0.3415241872304734,0.4044859,0.67567945,0.6369791,0.36436332828069523,0.7009332907620408,0.6539953746450701,0.46923627416935937,0.7118761486198669,0.5864714867171686,0.44024125,0.2639139,0.07321096,0.4050821980403574,0.44646254769881133,0.2686607376926137,0.5789687113858881,0.43133448776211764,0.24318787698159525,0.3675051587474755,0.11522708984850544,0.06845660668661704,0.49281603113778205,0.5257875963788562,0.3532318210831644,0.6080190715392769,0.6574056775661666,0.4567965979067419,0.35231667916051423,0.3934720971445766,0.24671072316073242,0.23696799789847986,0.23307380229205574,0.08834704544977667,0.83120006,0.54861385,0.32197517,0.4322901,0.5653274,0.33684778,0.05507136720255417,0.09071649153471766,0.016952471086408405,0.75623983,0.20914078,0.76660097,0.10886625032113094,0.6608509763343192,0.5411115,0.52031183,0.5148548,0.15664668403544013,0.5480511703398341,0.5793047,0.45987672,0.53741705,0.10326543366037672,0.6625128999539583,0.6373398,0.3145481,0.64588326,0.14931844932551028,0.559381253236454,0.5025836,0.3647037,0.51774293,0.17492518465211182,0.6061966030953229,0.52351296,0.27375454,0.51769316,0.09103109774957636,0.6362007445227524,0.6712452,0.3121965,0.7065884,0.1116215449253989,0.5612628043104732,0.7155646,0.30671448,0.72804916,0.13257397869112358,0.6177711624463982,0.7957667,0.5158878,0.79109764,0.11570012675611258,0.5882453476964716,0.5801999,0.5162407,0.5537816,0.1918737699281154,0.36364971781230043,0.80148774,0.58681345,0.80650127,0.23792041286679771,0.5542592465938472,0.5504689,0.32466874,0.53357834,0.18259818908267628,0.6018972849597134,0.40425754,0.471528,0.3016002
9,0.22867513611615245,0.01910237109926146,0.11075870816945278,0.49275976,0.7522508,0.71933746,0.40170345499174875,0.8184227812377407,0.7851477773713863,0.5377821126831529,0.6558240206645769,0.517818041014201,0.4611964,0.48494154,0.23974608,0.6884516112906871,0.5830033927439721,0.408096172535553,0.7116173766218405,0.3170900385262755,0.15098937339899549,0.3368272030932811,0.16292951937537348,0.10036224315418721,0.7025038321427147,0.4570197919813536,0.2852822426657871,0.5327514014199954,0.581380400110629,0.3646015449894935,0.4417062415109265,0.4171335970958677,0.2676163689361416,0.42775878955048136,0.5103065386474489,0.30797795845077264,0.830507,0.57830733,0.3551178,0.48208877,0.5921524,0.3676006,0.01703478731265446,0.03606835148002427,0.004977576156624208,0.7601361,0.18500334,0.7715889,0.15354061758769758,0.6037216153184499,0.24892445,0.6673372,0.23792662,0.07713660208833978,0.6332759565206112,0.5461053,0.6566944,0.52920395,0.09072212264061164,0.5124155092925932,0.56323737,0.5908569,0.6048628,0.16583634135514083,0.4498725723633231,0.15037099,0.70157486,0.23911214,0.10020105145835594,0.5737586786299091,0.34819254,0.57335794,0.4005198,0.06322156556899296,0.5190089896102255,0.63054067,0.54859567,0.7077112,0.16791597989823268,0.4144817280459379,0.63661736,0.56259805,0.67707074,0.11269657099271528,0.5222225312811349,0.47112647,0.55621964,0.48549926,0.08294170587714865,0.6204116218307495,0.3365144,0.78150886,0.3623091,0.1370630413904418,0.22911893528075497,0.638517,0.68964666,0.67904174,0.0908219705959935,0.5030363985978431,0.7634072,0.4597897,0.7425567,0.10864989450913219,0.6292709012790758,0.7129342,0.41556957,0.24995002
10,0.47368421052631576,0.08272540046258019,0.24107487098098068,0.43486947,0.64392865,0.6034362,0.6543925161997709,0.5268143159971522,0.47099709499340736,0.7939099885368609,0.3878489124536876,0.2426874845787304,0.3380853,0.27896658,0.081508875,0.580807186592651,0.49349198859765225,0.31365850398351847,0.6995441984731445,0.2366617050616991,0.0980913388697489,0.33244883700836436,0.1191771748117766,0.07101932455929348,0.6523736504388263,0.3944188148329077,0.22911752180522757,0.5304574896990091,0.6338596086061892,0.4271418948428995,0.5350004933433532,0.22652941392253362,0.11877986814286762,0.38749586739465885,0.44679803423251996,0.24667514506993402,0.8329128,0.40731636,0.18637666,0.4701354,0.6803036,0.47808287,0.0511043619379634,0.08190410486579684,0.014660229657676146,0.7602503,0.24457447,0.77539456,0.08457882955726678,0.6823777295760837,0.41215912,0.4246473,0.3957465,0.12029201830189588,0.5433689537558093,0.57176346,0.37077937,0.55739695,0.09759337858152453,0.5741815586825894,0.52115387,0.39621338,0.5168344,0.1678750552174436,0.7006532864319428,0.33548746,0.43017212,0.36307472,0.4403222669504044,0.38563683910215707,0.40017882,0.387854,0.4095468,0.14773068512248363,0.5465463616274403,0.480421,0.46470344,0.50986314,0.23011437729275716,0.7575841026294468,0.5634183,0.34074378,0.60247254,0.08230885562391287,0.5472897036314652,0.39811334,0.44478393,0.43494588,0.10096792322526643,0.5367220196862286,0.4122395,0.626429,0.41805267,0.16533367294860918,0.2302474364572354,0.53404677,0.5127143,0.58087397,0.30518281357784727,0.47752650742710007,0.4758165,0.4324426,0.47864512,0.15952496925477466,0.5461006321432051,0.5412825,0.45676485,0.2875589
12,0.24812030075187969,0.034712841646819814,0.16295560789016572,0.5610188,0.82926154,0.80425674,0.4766831673629464,0.5902472461728898,0.5360927031064413,0.7052822861392202,0.49404110620946173,0.3412111995277268,0.46843734,0.39807853,0.16285808,0.44366160121026627,0.46097534350554764,0.2822070633180274,0.6107257213075148,0.3427669937519419,0.16996701444643075,0.19217571570761996,0.21922605410259483,0.1407019616925975,0.5469263724011368,0.44527834807889044,0.27433470752025385,0.49368065078012585,0.5724119788210328,0.35440458797659385,0.5765944253380575,0.29640025002510373,0.16815204777353004,0.20329906391726768,0.2933837285371616,0.12553368693591674,0.83469754,0.558634,0.3329788,0.4644228,0.53724647,0.3060887,0.04048678902391162,0.08888647785889645,0.016465028944247458,0.6924523,0.32643422,0.71732396,0.09292045887508024,0.6400861330144098,0.40161481,0.4636098,0.39331108,0.1555467708848043,0.5134447535995551,0.5815548,0.3461215,0.57583493,0.16397289516306288,0.3646593812687521,0.74541515,0.39449948,0.79208326,0.7688782779894919,0.0,0.5024618,0.43742728,0.5705146,0.8085048224002749,0.03764897466937122,0.68442804,0.29418033,0.7062955,0.26452249988118026,0.31317960786376425,0.5973872,0.18842489,0.6518897,0.7383276100093126,0.10577574584978669,0.6898054,0.35479712,0.75064147,0.4355058439960149,0.12743884498993366,0.5857028,0.2746193,0.5945742,0.4725846312536984,0.3027928447292099,0.55159396,0.428807,0.5746806,0.3291951625572157,0.019261303012088792,0.6831774,0.26117793,0.7234655,0.5261005770051951,0.22405409936014575,0.70380837,0.17779975,0.6984715,0.8855407010572152,0.2900160889994625,0.22434804,0.39363405,0.23086852
13,0.43609022556390975,0.08457443267353737,0.24267272735166567,0.3733748,0.5631936,0.519748,0.39178202860054506,0.611952161392435,0.5587803094148263,0.517740236307847,0.6727206914838598,0.5381088197994098,0.34870267,0.21468283,0.049178675,0.7020595283332791,0.20759817145279746,0.08924684577085963,0.7245343847602094,0.1465560316457,0.05061507703719351,0.21313636491595905,0.11640269189711908,0.06921781202075956,0.7676555373831775,0.18714734275112305,0.08186834344222176,0.707529901338229,0.7354738871051163,0.5621841744615856,0.6808406328401593,0.3170930707619764,0.1839264696782895,0.5434951842147123,0.31038918551402095,0.13708364764302097,0.83324593,0.47743505,0.24909951,0.47588935,0.56118065,0.33221328,0.05402127757369189,0.11364535646621103,0.023567459317314046,0.90320057,0.12455302,0.9200777,0.35969058374586543,0.38686237693747333,0.28273824,0.1484637,0.26548442,0.18849385104011487,0.48476397528950005,0.33276188,0.27491078,0.29244787,0.21032758569919813,0.5105649425612405,0.45759475,0.19143037,0.4754077,0.15194362118213886,0.567204694901097,0.43852255,0.23152284,0.4725794,0.2779973500975615,0.4423179793656584,0.37336132,0.27243835,0.37169567,0.2949057422666709,0.4302353689631947,0.6394806,0.19909936,0.65978485,0.15994841240358418,0.6969245707280814,0.6434702,0.083483785,0.6589866,0.11124489776158802,0.623797426869971,0.4696812,0.2004005,0.4873223,0.1223537947217547,0.4889527365147256,0.6889173,0.3281801,0.6594001,0.1168574267983714,0.2795903362914379,0.51931953,0.31963825,0.5527495,0.11003366823658382,0.5883641006673818,0.5258702,0.22498079,0.5073266,0.04928156915305375,0.7074996479320543,0.511079,0.18495448,0.08215718
